Name: English USA;Aloe Vera;Artichoke;Arugula;Asparagus;Avocado;Beetroot;Black Lentil;Black Tea Leaf;Blackberry;Blueberry;Broccoli;Brussels Sprouts;Carrot;Cauliflower;Chayote;Cherry Tomato;Chicory;Coffee Bean;Corn;Cotton;Cucumber;Currant;Eggplant;Elderberry;Fennel Bulb;Fig;Garlic;Ginger;Ground Cherry ;Green Bell Pepper;Green Chili Pepper;Green Grape;Green Lentil;Green Tea Leaf;Habanero;Honeydew Melon;Hops;Horned Melon;Iceberg Lettuce;Jackfruit;Jalapeno;Jicama;Kiwi;Kohlrabi;Lavender;Leek;Lotus Root;Lulo;Lychee;Mulberry;Mustard Greens;Papaya;Parsnips;Passionfruit;Peanut;Peas;Pineapple;Pistachio;Pumpkin;Radicchio;Radish;Red Radish;Raspberry;Red Bell Pepper;Red Chili Pepper;Red Grape;Red Potato;Rhubarb;Rice;Romaine Lettuce;Romanesco Broccoli;Soybean;Spinach;Strawberry;Sugar Beet;Sugarcane;Sunflower;Sweet Potato;Taro Root;Tarragon;Tomato;Vanilla;Wasabi;Watermelon;Wheat;Yellow Bell Pepper;Yellow Chili Pepper;Yellow Lentil;Yellow Pumpkin;Zucchini 
Name: German;Aloe Vera;Artischocke;Rucola;Spargel;Avocado;Rote Bete;Schwarze Linse;Schwarzes Teeblatt;Brombeere;Blaubeere;Brokkoli;Rosenkohl;Mîhre;Blumenkohl;Chayote;Cherry Tomate;ChicorÇe;Kaffeebohne;Mais;Baumwolle;Gurke;Johannisbeere;Aubergine;Holunderbeere;Fenchelknolle;Feige;Knoblauch;Ingwer;Physalis;GrÅne Paprika;GrÅne Peperoni;GrÅne Weintraube;GrÅne Linse;GrÅnes Teeblatt;Habanero;Honigmelone;Hopfen;Kiwano;Eisbergsalat;Jackfrucht;Jalapeno;Jicama;Kiwi;Kohlrabi;Lavendel;Lauch;Lotuswurzel;Lulo;Litschi;Maulbeere;Senfkohl;Papaya;Pastinaken;Passionsfruch;Erdnuss;Erbsen;Ananas;Pistazie;KÅrbis;Radicchio;Rettich;Radieschen;Himbeere;Rote Paprika;Rote Peperoni;Rote Weintraube;Rote Kartoffel;Rhabarber;Reis;Romana;Romanesco;Sojabohne;Spinat;Erdbeere;ZuckerrÅbe;Zuckerrohr;Sonnenblume;SÅ·kartoffel;Taro Wurzel;Estragon;Tomate;Vanille;Wasabi;Wasser Melone;Weizen;Gelbe Paprika;Gelbe Peperoni;Gelbe Linse;Gelber KÅrbis;Zucchini
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seed Params;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Location;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Full Description;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Item Info Text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Funny Text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Min seed from seed extractor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Max seed from seed extractor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fruit Params;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Full Description;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Item Info Text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Funny Text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
